,"Frigerio Dario",Amministratore
,"Soncini Licia",Amministratore
,"Malacarne Carlo",Amministratore
,"Nelli Feroci Ferdinando",Amministratore
"AUTOGRILL SPA ","Zannoni Paolo",Presidente
,"Tondato Da Ruos Gianmario","Amministratore Delegato"
,"Chiappetta Francesco Umile",Amministratore
,"Roverato Paolo",Amministratore
,"De Benetti Cristina",Amministratore
,"Pierdicchi Maria",Amministratore
,"Benetton Alessandro",Amministratore
,"Ripa Elisabetta",Amministratore
,"Bertagnin Benetton Franca",Amministratore
,"Cominelli Barbara",Amministratore
,"Albanese Ernesto",Amministratore
,"Gerardin Catherine",Amministratore
,"Di Fasanella D'amore Di Ruffano Massimo",Amministratore
"AUTOSTRADE MERIDIONALI SPA ","Fratta Pietro",Presidente
,"Cirino Pomicino Paolo","Vice Presidente"
,"Barrel Giulio","Amministratore Delegato"
,"Fontecchia Carolina",Amministratore
,"De Guglielmo Maria Luisa",Amministratore
,"Lillo Antonella",Amministratore
,"Stornello Gianni Maria",Amministratore
"AVIO SPA ","Italia Roberto",Presidente
,"Ranzo Giulio","Amministratore Delegato"
,"Pasquali Luigi",Amministratore
,"Bonifacio Maria Rosaria",Amministratore
,"Rabajoli Vittorio",Amministratore
,"Sciuto Donatella",Amministratore
,"Gorno Tempini Giovanni",Amministratore
,"Ratti Stefano",Amministratore
,"Auteri Monica",Amministratore
"AZIMUT HOLDING SPA ","Giuliani Pietro",Presidente
,"Medda Giorgio","Amministratore Delegato"
,"Zambotti Alessandro","Amministratore Delegato"
,"Blei Gabriele","Amministratore Delegato"
,"Martini Paolo","Amministratore Delegato"
,"Guiati Massimo","Amministratore Delegato"
,"Pagani Raffaella Annamaria",Amministratore
,"Monari Antonio Andrea",Amministratore
,"Pardi Mirella",Amministratore
,"Colavito Nicola",Amministratore
,"Zironi Ambra",Amministratore
,"Bortolotti Anna Maria",Amministratore
"BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA ",,
"BANCA FARMAFACTORING SPA ","Messina Salvatore",Presidente
,"Fornari Luswergh Federico","Vice Presidente"
,"Belingheri Massimiliano","Amministratore Delegato"
,"Poggiali Barbara",Amministratore
,"Aguilera Navarro Isabel",Amministratore
,"Schindler Gabriele Michaela",Amministratore
,"Giorgia Rodigari",Amministratore
,"Langworthy Ben Carlton",Amministratore
,"Paris Carlo",Amministratore
"BANCA FINNAT EURAMERICA ","Carlevaris Carlo","Presidente onorario e Amministratore"
,"Mazzarella Flavia",Presidente
,"Tofanelli Marco","Vice Presidente"
,"Buonvino Leonardo","Vice Presidente"
,"Nattino Arturo","Amministratore Delegato"
,"Cusmai Roberto",Amministratore
,"Nattino Maria Sole",Amministratore
,"Boffa Ermanno",Amministratore
,"Nattino Giulia",Amministratore
,"Rattazzi Lupo",Amministratore
,"Scognamiglio Andreina",Amministratore
"BANCA GENERALI SPA ","Fancel Giancarlo",Presidente
,"Mossa Gian Maria","Amministratore Delegato"
,"Rustignoli Cristina",Amministratore
,"Caltagirone Azzurra",Amministratore
,"Lapucci Massimo",Amministratore
,"Terzi Vittorio",Amministratore
,"Gervasoni Anna",Amministratore
,"Brugnoli Giovanni",Amministratore
,"Pescatori Annalisa",Amministratore
"BANCA IFIS SPA ","Furstenberg Sebastien Egon",Presidente
,"Furstenberg Fassio Ernesto","Vice Presidente"
,"Colombini Luciano","Amministratore Delegato"
,"Arduini Simona",Amministratore
,"Lo Giudice Luca",Amministratore
,"Colleoni Beatrice",Amministratore
,"Santosuosso Daniele Umberto",Amministratore
,"Csillaghy De Pacser Alessandro",Amministratore
,"Billio Monica",Amministratore
,"Malinconico Antonella",Amministratore
,"Gronchi Divo",Amministratore
,"Diacetti Roberto",Amministratore
"BANCA INTERMOBILIARE DI INVESTIMENTI E GESTIONI SPA ","Pera Alberto",Presidente
,"Clara Maria Paola","Vice Presidente"
,"Moro Claudio","Amministratore Delegato"
,"Zaltron Sara",Amministratore
,"Candida Maria Lucia",Amministratore
,"Tosato Massimo",Amministratore
,"Alhadeff David",Amministratore
,"Stella Pietro",Amministratore
,"Canavese Emanuele",Amministratore
"BANCA MEDIOLANUM SPA ","Doris Ennio",Presidente
,"Pirovano Giovanni","Vice Presidente"
,"Doris Massimo","Amministratore Delegato"
,"Pierantoni Roberta",Amministratore
,"Notari Mario",Amministratore
,"Durante Paola",Amministratore
,"Gavazza Alessandro",Amministratore
,"Frasca Francesco Maria",Amministratore
,"Sarubbi Giacinto Gaetano",Amministratore
,"Omarini Anna Eugenia Maria",Amministratore
,"Doris Annalisa Sara",Amministratore
,"Bianchi Bruno",Amministratore
,"Tusquets Trias De Bes Carlos Javier",Amministratore
"BANCA MONTE DEI PASCHI DI SIENA SPA ","Bariatti Stefania",Presidente
,"Turicchi Antonino","Vice Presidente"
,"Morelli Marco","Amministratore Delegato"
,"Giorgino Marco",Amministratore
,"Valerio Giorgio Giannino",Amministratore
,"Kostoris Fiorella",Amministratore
,"Petruccioli Stefania",Amministratore
,"Maione Nicola",Amministratore
,"Casali Roberta",Amministratore
,"Piazzolla Salvatore",Amministratore
,"Lancellotti Roberto",Amministratore
,"Cappello Maria Elena Costanza Bruna",Amministratore
,"Riccaboni Angelo",Amministratore
,"Santoro Michele",Amministratore
"BANCA POPOLARE DI SONDRIO, SOCIETA' COOPERATIVA PER AZIONI ","Venosta Francesco",Presidente
,"Stoppani Lino Enrico","Vice Presidente e Componente del Comitato Esecutivo"
,"Pedranzini Mario Alberto","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Depperu Donatella",Amministratore
,"Triacca Domenico","Amministratore e Componente del Comitato Esecutivo"
,"Galbusera Cristina","Amministratore e Componente del Comitato Esecutivo"
,"Corradini Cecilia",Amministratore
,"Ferrari Attilio Piero",Amministratore
,"Propersi Adriano",Amministratore
,"Falck Federico",Amministratore
,"Biglioli Paolo",Amministratore
,"Carretta Alessandro",Amministratore
,"Rainoldi Annalisa","Amministratore e Componente del Comitato Esecutivo"
,"Rossi Serenella",Amministratore
,"Credaro Loretta","Amministratore e Componente del Comitato Esecutivo"
"BANCA PROFILO S.P.A. ","Di Giorgio Giorgio",Presidente
,"Garbuglia Giacomo","Vice Presidente"
,"Candeli Fabio","Amministratore Delegato"
,"Cipriotti Rosa",Amministratore
,"Rossano Serenella",Amministratore
,"Profeta Paola Antonia",Amministratore
,"Maggi Giovanni",Amministratore
,"Puri Negri Carlo Alessandro",Amministratore
,"Mazzi Carlo",Amministratore
,"Mariconda Ezilda",Amministratore
,"Giacche' Vladimiro",Amministratore
"BANCA SISTEMA SPA ","Spoegler Luitgard",Presidente
,"Puglisi Giovanni Antonino","Vice Presidente"
,"Garbi Gianluca","Amministratore Delegato"
,"De Franceschi Carlotta",Amministratore
,"Galietti Francesco",Amministratore
,"Ciambellotti Laura",Amministratore
,"Ferro Luzzi Federico",Amministratore
,"Pittatore Daniele",Amministratore
,"Giovannini Marco",Amministratore
"BANCO BPM SPA ","Fratta Pasini Carlo",Presidente
,"Comoli Maurizio","Vice Presidente e Componente del Comitato Esecutivo"
,"Castellotti Guido","Vice Presidente e Componente del Comitato Esecutivo"
,"Paoloni Mauro","Vice Presidente e Componente del Comitato Esecutivo"
,"Castagna Giuseppe","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Lonardi Piero Sergio","Amministratore e Componente del Comitato Esecutivo"
,"Torricelli Costanza",Amministratore
,"Frascarolo Carlo",Amministratore
,"Cerqua Michele",Amministratore
,"Galeotti Cristina",Amministratore
,"Galbiati Paola Elisabetta Maria",Amministratore
,"Soffientini Manuela",Amministratore
,"Zucchetti Cristina",Amministratore
,"D'ecclesia Rita Laura",Amministratore
,"Pedrollo Giulio",Amministratore
,"Ravanelli Fabio",Amministratore
,"Anolli Mario",Amministratore
"BANCO DI DESIO E DELLA BRIANZA SPA ","Lado Stefano Melchiorre",Presidente
,"Cartone Tommaso","Vice Presidente"
,"Casella Valentina",Amministratore
,"Gavazzi Paolo","Amministratore e Componente del Comitato Esecutivo"
,"Gavazzi Egidio","Amministratore e Componente del Comitato Esecutivo"
,"Brogi Marina",Amministratore
,"Gavazzi Tito","Amministratore e Componente del Comitato Esecutivo"
